timestamp,location,temperature_f,windspeed_kmh
2026-06-18 14:27:30,"Atlanta, GA (Hartsfield-Jackson)",80.1,16.4
2026-06-19 14:53:40,"Atlanta, GA (Hartsfield-Jackson)",76.5,10.6
2026-06-20 13:50:31,"Atlanta, GA (Hartsfield-Jackson)",75.9,7.2
2026-06-21 13:58:46,"Atlanta, GA (Hartsfield-Jackson)",73.2,5.0
2026-06-22 16:46:24,"Atlanta, GA (Hartsfield-Jackson)",84.6,19.8
2026-06-23 14:38:10,"Atlanta, GA (Hartsfield-Jackson)",75.0,18.7
2026-06-24 14:18:06,"Atlanta, GA (Hartsfield-Jackson)",73.9,6.3
2026-06-25 14:16:01,"Atlanta, GA (Hartsfield-Jackson)",77.5,2.9
2026-06-26 14:13:23,"Atlanta, GA (Hartsfield-Jackson)",77.2,4.4
2026-06-27 13:22:34,"Atlanta, GA (Hartsfield-Jackson)",79.3,14.2
2026-06-28 13:26:03,"Atlanta, GA (Hartsfield-Jackson)",81.1,15.0
2026-06-29 15:38:03,"Atlanta, GA (Hartsfield-Jackson)",88.5,14.9
2026-06-30 14:08:16,"Atlanta, GA (Hartsfield-Jackson)",84.4,4.7
2026-07-01 14:24:21,"Atlanta, GA (Hartsfield-Jackson)",85.6,3.3
2026-07-02 13:47:27,"Atlanta, GA (Hartsfield-Jackson)",85.1,3.9
2026-07-03 13:52:02,"Atlanta, GA (Hartsfield-Jackson)",86.0,4.6
2026-07-04 13:12:58,"Atlanta, GA (Hartsfield-Jackson)",78.3,3.6
2026-07-05 13:20:37,"Atlanta, GA (Hartsfield-Jackson)",80.1,4.6
2026-07-06 15:20:44,"Atlanta, GA (Hartsfield-Jackson)",80.4,8.7
2026-07-07 14:19:49,"Atlanta, GA (Hartsfield-Jackson)",79.5,6.5
2026-07-08 12:34:19,"Atlanta, GA (Hartsfield-Jackson)",76.8,6.5
2026-07-10 12:45:40,"Atlanta, GA (Hartsfield-Jackson)",78.1,14.0
